vehicle id,vehicle class,CO(g),HC(g),NOx(g),PM2.5_Ele(g),PM2.5_Org(g),Energy(KJ),CO2(g),Fuel(g),TT(s)
85,1,0.0217769275,0.0001718036388888889,0.000855322888888889,1.2477558333333332e-05,5.722947222222222e-05,194.64652777777778,13.848711157222223,4.337164539693687,7.0
83,1,0.05148021055555556,0.0005329293055555556,0.002523143111111111,3.1576566666666665e-05,0.00014482875,520.9196111111112,37.06238849166667,11.607266213981061,17.0
17,1,3.0233922580555563,0.022793902999999997,0.0903185735,0.0007941293722222222,0.0036423485,6048.667305555556,430.35058147694446,134.77797756255214,100.0
96,1,5.998877219166666,0.04177641072222222,0.13590217455555556,0.001865125961111111,0.00855455225,8080.790416666667,574.9320765708333,180.05827307150187,115.0
14,1,8.683569416388888,0.056567850277777776,0.16756307950000002,0.0026781904944444446,0.012283726694444445,9829.908527777778,699.3783319236111,219.03257758880366,157.0
46,1,8.757290796944444,0.05873651108333333,0.19094681327777777,0.002597766547222222,0.011914865444444443,11425.05475,812.8697953683334,254.57604045853716,163.0
42,1,10.160593946944443,0.0670148685,0.216867345,0.0029228552555555557,0.013405909194444444,12614.031083333335,897.4630835341668,281.0691202522913,174.0
11,1,9.937509319166665,0.06735369613888889,0.1987468781111111,0.003251363402777778,0.014912632249999998,11498.817305555556,818.1178536405556,256.2196368901558,178.0
4,2,8.706808719444444,0.06930489504527779,0.14950505872222222,0.002219779291666667,0.030424037055555558,12684.597472222222,902.4837409672223,282.64149887564366,179.0
75,1,9.838590719166666,0.06569994694444445,0.21628289205555556,0.002855273788888889,0.013095943583333334,12789.68986111111,909.9608542561111,284.98319481020934,175.0
59,1,9.014159619166666,0.061563047833333336,0.20640969127777778,0.0026857193444444444,0.012318271277777779,12782.296750000001,909.4348491855555,284.8184595858399,184.0
95,1,8.691349971944444,0.05835307663888889,0.172645512,0.002789522316666666,0.012794361,10113.465,719.5528078158334,225.35085662959509,154.0
112,1,3.036781908055555,0.02050327622222222,0.06089445327777778,0.0010113311777777778,0.004638549222222222,3655.830583333333,260.1050343333334,81.46016757075759,57.0
125,1,0.010725988333333334,0.00011862005555555556,0.0007036847777777778,8.56341111111111e-06,3.927680555555555e-05,106.56044444444444,7.581562500277778,2.374407528496086,4.0
127,1,0.0031802413888888893,2.0273083333333337e-05,5.1913555555555555e-05,2.5606805555555555e-06,1.1744805555555558e-05,39.42030555555556,2.804675899722222,0.8783734976857324,2.0
43,2,11.727736138888888,0.08899335814472223,0.20461257008333333,0.0027866733,0.03819381833333334,16105.005777777778,1145.8389510783334,358.85592604225985,215.0
151,2,0.013051672222222224,6.32695175e-05,0.0004353790555555555,3.915483333333333e-06,5.3664999999999995e-05,268.5115,19.104056199444443,5.983043055189646,9.0
76,1,14.930610166111109,0.10152648322222223,0.2973663503888889,0.004866033736111111,0.02231844130555555,18464.90538888889,1313.7410885766667,411.4398227406015,327.0
24,2,7.0803002444444445,0.055532636503611114,0.13864610811111108,0.0018971113694444446,0.02600158358333333,18313.8665,1302.9949737555555,408.0743349625354,415.0
91,1,10.141280930555554,0.07728845152777777,0.2322593326111111,0.004016751075,0.018423154499999997,24321.958666666666,1730.4587151663889,541.9482067043826,770.0
179,1,9.376925146944444,0.07037405997222222,0.2062952140555556,0.0036661810611111107,0.01681523888888889,24057.672305555552,1711.6552691666668,536.0593092981061,799.0
39,1,11.600253181944442,0.08623378205555556,0.24869792466666665,0.004729239188888889,0.02169104361111111,31994.736305555558,2276.3614986561115,712.9150329882094,1182.0
182,1,11.274735737777776,0.08443991791666666,0.2462288453888889,0.004368178602777778,0.020035005,25728.722916666666,1830.5471780419443,573.2940934867726,816.0
246,1,6.834867730833333,0.05150060019444444,0.15252716483333334,0.0026770388805555556,0.012278456277777777,15851.93877777778,1127.8337401372223,353.21702134297544,523.0
321,1,7.900672933055555,0.051989137500000004,0.14658287166666667,0.002584188258333333,0.011852576027777778,9196.488111111112,654.3117361061111,204.91853917141387,174.0
340,1,0.02087398861111111,0.00019753741666666668,0.0005137386111111111,1.4880769444444444e-05,6.825208333333334e-05,252.34969444444445,17.954176060277774,5.6229215025142665,10.0
315,1,10.111973482777778,0.07093114747222223,0.21531359961111113,0.00345657385,0.0158538475,14709.431805555556,1046.5466540591667,327.75938393034806,288.0
322,1,9.727392552499998,0.0677288215,0.20128604983333334,0.003317069891666667,0.015214000138888888,12708.658194444444,904.1956131822221,283.1776261284323,229.0
301,2,7.752778188888889,0.06560835522027778,0.17328372027777778,0.0021590365916666666,0.029591497166666668,29935.42316666667,2129.845487433889,667.0288822008861,889.0
354,1,10.509275508333332,0.07408473394444445,0.22006082833333335,0.0037618869694444443,0.01725419102777778,17999.00083333333,1280.5929112366666,401.0584162918469,449.0
360,1,8.806781601944444,0.06274494944444445,0.18682609711111112,0.003140692947222222,0.014405036416666668,15731.759472222222,1119.2832228902778,350.53915480518236,408.0
358,1,10.624341413055554,0.08152009572222223,0.2540723377222222,0.003968931758333333,0.018203826416666666,21135.141722222223,1503.7230632036112,470.93872297604,504.0
3,1,19.033144873611107,0.1417413311388889,0.39661211900000004,0.008057120719444444,0.03695463777777778,46797.01419444445,3329.513965900556,1042.743237502492,1957.0
70,1,18.468606130555557,0.1410816362777778,0.40552725922222227,0.007934488002777776,0.03639217863888889,47415.396611111115,3373.510638098334,1056.5221952953418,1966.0
314,1,15.71781565472222,0.10858354061111111,0.30994245,0.005641512336111111,0.025875238388888888,27869.631027777777,1982.8685083202781,620.9983646512143,852.0
