vehicle id,vehicle class,CO(g),HC(g),NOx(g),PM2.5_Ele(g),PM2.5_Org(g),Energy(KJ),CO2(g),Fuel(g),TT(s)
1689,1,10.084563396450365,0.06184908319062711,0.1798680843154505,0.00308906331035346,0.014168216854561608,10252.638259554113,729.4547068709194,228.4519513791198,0.08121900280443231
1702,1,1.0631189644805432,0.008752248419603604,0.04529091251754754,0.0005704538670904687,0.002616438972383994,9661.510234605079,687.3971301451602,215.28028303182512,0.046083383707302215
1706,1,0.839383536758726,0.008528610078402134,0.04384014245196437,0.0005957418114811657,0.002732422498211356,7509.2414850665455,534.2675131123056,167.32287115199026,0.036370798788965944
1587,1,5.445299590629806,0.03753479863299275,0.11333185133805385,0.0018290570329369934,0.008389112902098228,7886.137383762355,561.0829025552201,175.7209635729758,2.696385930667635
1741,1,6.477760132757674,0.04855126051666237,0.16150724987251472,0.0022381417948957524,0.010265420691614676,9694.573330755242,689.7495033110736,216.01700353696805,0.11982372214627575
1673,1,5.292903850451398,0.03508212795310204,0.11031287241722346,0.001597308612071671,0.007326182185439182,6506.3923340285655,462.9168017856574,144.9771256501445,3.4978906424199034
1701,1,3.5437598486389668,0.023988764520567998,0.0837039814358808,0.0009773929220739705,0.004482894325956178,5055.844834256128,359.71324828111955,112.6556491207688,3.4328713569431146
1710,2,4.422058960944314,0.03203602957916195,0.09512573354796287,0.0008927782466665172,0.01223631249978528,6981.429299211938,496.7147317770711,155.56202281563728,2.590423465266517
1782,1,6.8979749171647615,0.04351108942437967,0.12193336011041873,0.0022020688009483183,0.010099953685122978,7840.375571526897,557.8270411364576,174.7012869740997,0.11932536016341513
1700,1,3.7352961756963334,0.02511541646190906,0.08373580908396179,0.001071910729611788,0.004916405965059475,5127.02705427291,364.77772086593507,114.24174985301329,3.5316066216881397
1796,1,1.367791870541878,0.010523775631355745,0.04381852107025827,0.0008284227256613517,0.0037996368142503905,16352.322171203194,1163.4350179518708,364.36669425856314,0.005309118531162034
1798,1,0.8332672993266453,0.008192065156303557,0.03758086694719788,0.0005785471448454635,0.0026535585363754253,8217.698283431095,584.6727974478878,183.1088897461794,0.028203521203142637
1801,2,0.9192646212272175,0.004115325025753843,0.05278400985402713,0.000434119968886091,0.005949995533626118,13572.679465075233,965.6689986371313,302.4299727549925,0.015884741148921324
1720,1,4.592053494569179,0.030311248232712442,0.09778131472556775,0.0013218957265802333,0.006062980344128826,5685.662139478134,404.52348990679934,126.68940206626579,3.483277172130156
1704,1,4.706898013515034,0.03179385907119497,0.10107114174385046,0.0014292877383724695,0.006555541734236515,6057.783345952216,430.9991694956476,134.98110353750056,3.4968209741712677
1719,1,4.076557893425962,0.027629489691335496,0.09057857245637334,0.0012011186873466385,0.00550902777124619,5479.38177479174,389.8470545167962,122.09300934639666,3.506307247318609
1729,1,3.81484073034347,0.02589933994404257,0.0850265619880199,0.0011193883382161383,0.0051341652186409495,5214.4150674117345,370.9952032207587,116.18895228141031,3.505403975182296
1717,1,5.9220784318773925,0.039388837659942076,0.12026126247423807,0.0018267759084843874,0.008378651392465526,6868.068798481427,488.64935887491464,153.03609466582552,3.4841522909875087
1728,1,5.1734470653893485,0.03425970842033618,0.10716069895300859,0.001555766598358526,0.0071356463204198615,6298.374808027224,448.11677084383706,140.34202505063809,3.501978663818685
1751,1,4.063330424456127,0.027303497196157565,0.08944415536045634,0.0011826866392586621,0.005424488090236794,5292.897098030305,376.57904273733834,117.93770929364821,3.4938869891193334
1730,1,5.832957347671763,0.03829261760694002,0.11566707816032845,0.0017806000942143924,0.008166860890811823,6631.415632874312,471.81195944448876,147.76292729875124,3.4842732643541994
1825,1,3.0185343605958925,0.021030003803647033,0.07634784790902817,0.0008410230561013534,0.0038574243841759327,4883.907502472977,347.48025100333587,108.82449679149927,2.150208009152582
1885,1,0.7854659643596807,0.011060514259559867,0.04915715998633228,0.000683883173614687,0.0031366890859231317,8102.298024230137,576.4622997460865,180.53751114775162,0.014934422126540618
1760,1,5.457538024866559,0.03608832794190286,0.11141987659395043,0.0016755422010745296,0.007685005716755173,6626.978366565907,471.4962568251815,147.6640549784318,3.4801964496655895
1774,1,5.07026644969667,0.033730886321757,0.10660927269924418,0.0014987957571528845,0.006874345351896199,6129.236301465458,436.08290437816913,136.57323687116295,3.470510940131808
1891,1,4.457009462086495,0.029932052090590078,0.10177407463810019,0.0015997067560325285,0.007337180348485473,9977.647250684116,709.8896465188132,222.3245302052101,0.07243704170343813
1899,2,1.1392627532314379,0.005032011987061533,0.036081783012386716,0.0003259819026387547,0.00446785769111386,23139.06787870617,1646.2984011330752,515.5907265366767,0.008118071656809304
1906,1,6.413156002605646,0.05362930905883753,0.18639138296077273,0.0025419131337274374,0.011658697738784645,12203.833033302408,868.2783126094705,271.92898063087506,0.06449790297367666
1818,2,4.553654198759917,0.03357247099609286,0.09446613497323285,0.0009500739387762854,0.01302160218791167,6895.588161041653,490.6073064757632,153.64928825536404,3.428313421907339
1874,1,5.820190470224802,0.040487154984451566,0.12158036518925368,0.0019234603696304175,0.00882210303006988,7029.919832079256,500.1647362057921,156.6425014753594,1.4400270467167275
1810,1,5.352125377933907,0.03612099954636747,0.11145284496569077,0.001688525002402848,0.007744553130421477,6545.301826315247,465.68513433854935,145.84411707239116,3.477114996803929
1832,1,5.053478687280791,0.03367812696087743,0.1042724908319563,0.0015344110059968576,0.007037696285955342,6082.595420189881,432.76449895504095,135.53397262728328,3.445853971112718
1829,1,5.736762871243573,0.03824666930102276,0.11833312007804862,0.001747582159794171,0.00801542332314945,6782.922482046393,482.5913687524432,151.1388423047424,3.44492336463194
1950,2,1.0190522678823253,0.004996903664120971,0.026065860908597794,0.00031662390757783936,0.0043395960736751825,20716.752776692156,1473.9555263440593,461.61607165957133,0.006288296468928276
1952,1,7.433282822380048,0.046976083784213925,0.13158409079367508,0.0023573728923481966,0.010812267118917439,8171.27162890239,581.3696338191685,182.07439895518505,0.07357557055082008
1862,1,4.404047598863203,0.02909442581738726,0.09485274894521842,0.0012648057540758796,0.005801132914095119,5517.95469255174,392.59144047455646,122.95250113044062,3.4264033450994824
1956,1,1.797044859832587,0.011455621049524429,0.029334561990383534,0.001446952374782497,0.006636585048884703,22275.05676743335,1584.8257389207402,496.338606416541,0.0017697061770540114
